Song,Artist,Album,Cover Art,Year released 
Drip to hard,Lil Baby,Drip Harder,https://www.google.com/url?sa=i&url=https%3A%2F%2Fopen.spotify.com%2Ftrack%2F78QR3Wp35dqAhFEc2qAGjE&psig=AOvVaw01ftVPMtoeNTe0J0jVLBFK&ust=1728414233707000&source=images&cd=vfe&opi=89978449&ved=0CBUQjhxqFwoTCNiV2vT6_IgDFQAAAAAdAAAAABAg,2018
Hate Me,Lil Yatchy,No Album,https://www.google.com/url?sa=i&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FHate_Me_%2528Lil_Yachty_and_Ian_song%2529&psig=AOvVaw35MXO7vxGDDTLit0inARpD&ust=1728414395224000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCPDNq8L7_IgDFQAAAAAdAAAAABAE,2024
The Box,Roddy Ricch,I am sorry for being antisocial ,https://www.google.com/url?sa=i&url=https%3A%2F%2Fopen.spotify.com%2Ftrack%2F0nbXyq5TXYPCO7pr3N8S4I&psig=AOvVaw3znxpcenI5rNteOtHEu_OZ&ust=1728414435879000&source=images&cd=vfe&opi=89978449&ved=0CBcQjhxqFwoTCMC4qNX7_IgDFQAAAAAdAAAAABAE,2019
Family Matters,Drake,No Album,https://www.google.com/url?sa=i&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FFamily_Matters_%2528song%2529&psig=AOvVaw03_VonDhmzm_EZT6T-9vA0&ust=1728414494588000&source=images&cd=vfe&opi=89978449&ved=0CBcQjhxqFwoTCJijl_H7_IgDFQAAAAAdAAAAABAE,2024
The Weekend,Sza,Ctrl,https://www.google.com/url?sa=i&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FThe_Weekend_%2528SZA_song%2529&psig=AOvVaw2Ua97MmPv6vX6vkduQT8_q&ust=1728414521935000&source=images&cd=vfe&opi=89978449&ved=0CBcQjhxqFwoTCMj49f77_IgDFQAAAAAdAAAAABAE,2017
